ir0,ir1,ir2,ir3,ir4,ir5,ir6,ir7,smell,move,turn
100,32,21,35,100,31,20,94,116.34581502504534,9.83182819514015,20.057635837507554
61,20,20,61,100,26,100,100,99.33672147234881,9.092686707565246,13.222786912058137
27,12,17,100,56,47,95,100,89.18063287350344,6.067861227755606,-33.13949930013303
100,19,12,22,100,43,100,92,124.01805342802857,5.167440839681534,-45.866466073021904
86,100,24,15,27,100,39,100,170.17032065489082,10.793620018191412,27.6950534424818
100,46,19,22,93,57,100,75,144.37146118272352,8.543651699520098,-17.271423136212743
100,100,28,23,49,100,55,100,162.39597844761101,10.510999401322529,27.065996407935167
100,42,23,33,100,49,100,64,137.35527837677245,9.948757732688124,21.55921306279541
100,25,22,53,100,100,53,100,118.08368472402054,9.480102353445016,17.680614120670093
36,16,21,100,64,100,100,100,102.8800691557351,5.562074586338778,-27.427552481967332
95,22,15,30,100,96,56,100,131.35752616301488,8.982153504528192,-11.440412306164188
87,31,16,24,100,87,100,100,144.0899727801699,9.13583257722694,-11.318337869971687
82,100,20,22,88,85,100,100,156.37180626751024,10.67699461854195,22.72863437791837
68,25,18,34,100,100,54,90,135.44814710457,8.495781864015832,-16.758642149238334
61,100,20,25,100,100,53,100,153.1091833461801,10.586366204060557,22.184863891030016
51,89,18,39,100,100,100,62,132.70231315134515,8.419508698648476,-17.21628114144248
42,97,18,26,100,100,100,72,150.83586867821055,8.923218574394738,-14.194021886964912
37,100,100,24,79,100,66,95,165.4884405088236,10.5969011252451,27.5814067514706
25,77,72,38,100,67,100,34,139.35259832976965,9.870905509160268,23.225433054961606
100,100,27,90,100,100,42,18,117.84337643795607,4.703123616436875,37.285408365287914
56,41,46,100,100,54,17,99,81.39788619577041,7.194385727660289,50.89964769929507
25,43,100,100,49,20,100,100,31.27171177742622,6.868658660484062,5.211951962904372
14,41,100,100,47,23,100,100,26.645602055066888,9.496062245056299,-20.223626529662205
